MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,ACTIVE,_TAKE_OUT_MISS_OP.,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL_DATA_INPUT,READY,NOT_AUTO_MODE(MAG._MANUAL_OPER),FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,READY,NOT_AUTO_MODE(MAG._MANUAL_OPER),FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL_DATA_INPUT,ACTIVE,0,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL_DATA_INPUT,READY,MAGAZINE_DOOR_OPENED,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,READY,MAGAZINE_DOOR_OPENED,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,INTERRUPTED,ALARM,0,FALSE,indefinido,3,-10
MARCA_GENERAL,MODELO_GENERAL,INTERRUPTED,_ALARM,AUTOMATIC,FALSE,maquina_alarmada,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,INTERRUPTED,0,FALSE,maquina_detenida_en_ciclo,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,ACTIVE,_ARM_POSITION_MALF.,FALSE,maquina_detenida_correctivo_ATC,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL_DATA_INPUT,READY,0,FALSE,ajuste_de_programa,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,ACTIVE,MAGAZINE_DOOR_OPENED,FALSE,maquina_detenida_puerta_de_atc_abierta,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,FEED_HOLD,0,FALSE,maquina_detenida,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,STOPPED,0,FALSE,maquina_detenida,3,-10
MARCA_GENERAL,MODELO_GENERAL,MANUAL,STOPPED,0,FALSE,maquina_detenida,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,READY,0,FALSE,maquina_detenida,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,0,0,FALSE,ciclo_terminado,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,ACTIVE,0,FALSE,maquina_detenida,3,-10
MARCA_GENERAL,MODELO_GENERAL,AUTOMATIC,ACTIVE,_1_CYCLE_STOP,FALSE,maquina_detenida,3,-10
